RELIANCE Historical Data,RELIANCE Historical Data,RELIANCE Historical Data,RELIANCE Historical Data,RELIANCE Historical Data,RELIANCE Historical Data,RELIANCE Historical Data
Download Now  View Chart,Download Now  View Chart,Download Now  View Chart,Download Now  View Chart,Download Now  View Chart,Download Now  View Chart,Download Now  View Chart
Equitypandit Financial Services Pvt. Ltd.,Equitypandit Financial Services Pvt. Ltd.,Equitypandit Financial Services Pvt. Ltd.,Equitypandit Financial Services Pvt. Ltd.,Equitypandit Financial Services Pvt. Ltd.,Equitypandit Financial Services Pvt. Ltd.,Equitypandit Financial Services Pvt. Ltd.
Date,Price,Open,High,Low,Volume,Change(%)
18 Nov 2025,1519.4,1521.7,1527.8,1510.5,11045042,0.07%
17 Nov 2025,1518.3,1520.9,1523.7,1511.5,5871416,-0.04%
14 Nov 2025,1518.9,1505.5,1520.9,1505.5,7682823,0.53%
13 Nov 2025,1510.9,1515.0,1522.1,1506.8,7196443,-0.04%
12 Nov 2025,1511.5,1505.0,1524.7,1500.0,12384459,1.21%
11 Nov 2025,1493.4,1497.0,1498.8,1480.2,7127506,0.28%
10 Nov 2025,1489.3,1477.9,1501.0,1475.5,7068438,0.76%
07 Nov 2025,1478.0,1494.6,1498.4,1475.9,7821765,-1.21%
06 Nov 2025,1496.1,1484.0,1501.6,1476.2,16772678,1.56%
04 Nov 2025,1473.1,1483.9,1492.8,1470.1,10007806,-0.78%
03 Nov 2025,1484.7,1486.0,1495.0,1479.3,8452085,-0.11%
31 Oct 2025,1486.4,1490.4,1497.5,1482.3,8758053,-0.14%
30 Oct 2025,1488.5,1500.0,1503.1,1484.0,9318663,-1.04%
29 Oct 2025,1504.2,1490.0,1508.3,1488.1,11884745,1.16%
28 Oct 2025,1486.9,1484.1,1492.0,1477.6,17631577,0.19%
27 Oct 2025,1484.1,1463.0,1485.0,1458.0,14113867,2.24%
24 Oct 2025,1451.6,1450.0,1459.8,1441.0,9700837,0.22%
23 Oct 2025,1448.4,1475.0,1482.9,1444.6,18707090,-1.15%
21 Oct 2025,1465.2,1468.0,1474.0,1460.0,2066169,-0.11%
20 Oct 2025,1466.8,1440.0,1473.8,1433.3,24721978,3.53%
17 Oct 2025,1416.8,1401.0,1423.3,1399.1,19335561,1.32%
16 Oct 2025,1398.3,1375.1,1400.5,1375.0,12315932,1.75%
15 Oct 2025,1374.3,1383.0,1384.0,1372.7,10882743,-0.12%
14 Oct 2025,1375.9,1380.0,1388.0,1370.1,9768174,0.07%
13 Oct 2025,1375.0,1376.9,1377.7,1367.8,7600682,-0.48%
10 Oct 2025,1381.7,1377.8,1388.0,1375.1,6373084,0.28%
09 Oct 2025,1377.8,1374.0,1380.0,1369.1,8826633,0.76%
08 Oct 2025,1367.4,1384.8,1389.0,1364.5,8525081,-1.26%
07 Oct 2025,1384.8,1376.0,1395.9,1375.9,11244040,0.71%
06 Oct 2025,1375.0,1360.0,1377.4,1359.0,12396580,0.85%
03 Oct 2025,1363.4,1363.2,1371.6,1356.9,12842347,-0.39%
01 Oct 2025,1368.7,1367.0,1378.6,1362.7,12045916,0.34%
30 Sep 2025,1364.0,1377.1,1377.1,1362.8,14604684,-0.64%
29 Sep 2025,1372.8,1381.6,1389.0,1368.0,14231999,-0.35%
26 Sep 2025,1377.6,1372.0,1382.7,1366.0,9879109,0.38%
25 Sep 2025,1372.4,1381.3,1384.5,1369.0,11411143,-0.77%
24 Sep 2025,1383.0,1385.3,1396.0,1380.4,5922759,-0.49%
23 Sep 2025,1389.8,1391.0,1395.0,1376.8,14014702,-0.06%
22 Sep 2025,1390.6,1403.9,1410.7,1388.0,7757970,-1.19%
19 Sep 2025,1407.4,1414.9,1417.0,1403.6,13461373,-0.54%
18 Sep 2025,1415.0,1420.4,1422.0,1410.7,9332642,0.08%
17 Sep 2025,1413.8,1407.0,1416.2,1406.9,7519417,0.60%
16 Sep 2025,1405.3,1404.7,1408.0,1398.2,8686961,0.43%
15 Sep 2025,1399.3,1393.0,1400.8,1388.6,5396697,0.31%
12 Sep 2025,1395.0,1383.3,1396.3,1380.5,7403368,0.85%
11 Sep 2025,1383.3,1376.0,1385.5,1375.0,9766072,0.46%
10 Sep 2025,1377.0,1383.9,1388.5,1374.1,7790815,0.06%
09 Sep 2025,1376.2,1376.6,1381.2,1368.7,9754452,-0.17%
08 Sep 2025,1378.5,1380.0,1386.0,1372.4,6986720,0.25%
05 Sep 2025,1375.0,1363.0,1381.0,1359.3,5777575,1.16%
04 Sep 2025,1359.3,1371.8,1374.0,1357.1,13223177,-0.97%
03 Sep 2025,1372.6,1369.7,1376.5,1360.5,7847563,0.45%
02 Sep 2025,1366.5,1354.8,1384.5,1354.5,11517006,0.93%
01 Sep 2025,1353.9,1356.0,1363.2,1340.6,11232238,-0.24%
29 Aug 2025,1357.2,1381.1,1403.5,1350.0,18758842,-2.07%
28 Aug 2025,1385.9,1389.9,1392.2,1366.5,13161813,0.07%
26 Aug 2025,1384.9,1408.0,1410.0,1381.6,12145259,-1.96%
25 Aug 2025,1412.6,1414.7,1419.5,1405.7,5979407,0.24%
22 Aug 2025,1409.2,1420.0,1423.4,1407.9,5818868,-1.09%
21 Aug 2025,1424.8,1425.0,1431.9,1420.3,11021323,0.84%
20 Aug 2025,1413.0,1413.0,1424.9,1410.0,8725641,-0.50%
19 Aug 2025,1420.1,1390.0,1421.0,1389.1,14384719,2.78%
18 Aug 2025,1381.7,1390.0,1394.9,1377.0,11785109,0.58%
14 Aug 2025,1373.8,1377.3,1380.7,1370.1,7126128,-0.64%
13 Aug 2025,1382.6,1388.0,1391.8,1377.5,7457021,0.16%
12 Aug 2025,1380.4,1381.9,1401.9,1375.2,12244664,-0.42%
11 Aug 2025,1386.2,1370.0,1388.0,1361.2,9997486,1.35%
08 Aug 2025,1367.8,1385.0,1397.2,1365.0,8793606,-1.55%
07 Aug 2025,1389.4,1387.7,1393.7,1366.0,9976705,-0.24%
06 Aug 2025,1392.8,1391.9,1395.9,1383.3,5834312,0.08%
05 Aug 2025,1391.7,1411.0,1411.0,1388.1,9315972,-1.40%
04 Aug 2025,1411.5,1395.1,1416.1,1391.7,6312820,1.28%
01 Aug 2025,1393.7,1386.9,1405.9,1384.3,10321171,0.25%
31 Jul 2025,1390.2,1388.1,1402.6,1382.2,17065827,-1.41%
30 Jul 2025,1410.1,1418.1,1423.3,1401.3,7209849,-0.49%
29 Jul 2025,1417.1,1383.0,1420.2,1383.0,10750072,2.13%
28 Jul 2025,1387.6,1392.3,1407.8,1385.0,7748361,-0.29%
25 Jul 2025,1391.7,1398.9,1401.0,1384.1,11854722,-0.80%
24 Jul 2025,1402.9,1419.2,1423.0,1396.0,14740507,-1.52%
23 Jul 2025,1424.6,1426.0,1426.0,1414.4,8354596,0.84%
22 Jul 2025,1412.8,1427.4,1431.9,1410.7,20396320,-1.11%
21 Jul 2025,1428.6,1465.0,1476.0,1423.1,22442744,-3.21%
18 Jul 2025,1476.0,1484.8,1484.8,1469.1,10296318,-0.03%
17 Jul 2025,1476.4,1487.4,1489.6,1473.9,11854613,-0.62%
16 Jul 2025,1485.6,1473.0,1491.0,1471.5,10409983,0.01%
15 Jul 2025,1485.4,1486.2,1496.5,1482.4,8132454,0.11%
14 Jul 2025,1483.7,1492.2,1500.0,1479.1,10311846,-0.77%
11 Jul 2025,1495.2,1512.0,1515.0,1490.3,7234991,-1.45%
10 Jul 2025,1517.2,1519.7,1524.7,1507.5,10047129,-0.12%
09 Jul 2025,1519.0,1536.7,1551.0,1510.1,8870660,-1.21%
08 Jul 2025,1537.6,1536.0,1544.9,1530.2,7171261,-0.25%
07 Jul 2025,1541.5,1526.6,1544.8,1525.0,7251074,0.93%
04 Jul 2025,1527.3,1524.0,1530.0,1517.2,6603501,0.63%
03 Jul 2025,1517.8,1520.8,1531.9,1513.0,11283291,-0.07%
02 Jul 2025,1518.8,1528.4,1530.0,1508.7,6361002,-0.63%
01 Jul 2025,1528.4,1500.6,1531.4,1500.1,10368523,1.85%
30 Jun 2025,1500.6,1513.8,1524.8,1496.0,8409527,-0.98%
27 Jun 2025,1515.4,1499.4,1522.0,1496.9,11117052,1.34%
26 Jun 2025,1495.3,1469.1,1498.8,1465.1,14657893,1.91%
25 Jun 2025,1467.3,1464.0,1472.4,1460.5,7525851,1.14%
24 Jun 2025,1450.8,1465.0,1475.0,1443.1,16402744,-0.41%
23 Jun 2025,1456.8,1453.0,1463.8,1442.0,5989078,-0.64%
20 Jun 2025,1466.2,1431.0,1471.0,1428.1,29010635,2.30%
19 Jun 2025,1433.3,1430.1,1439.9,1425.7,10007230,0.22%
18 Jun 2025,1430.1,1430.0,1442.8,1425.7,6681735,-0.08%
17 Jun 2025,1431.2,1448.0,1448.0,1425.8,10366599,-0.46%
16 Jun 2025,1437.8,1426.9,1442.4,1424.4,8458093,0.69%
13 Jun 2025,1427.9,1424.0,1435.5,1414.3,9757276,-0.95%
12 Jun 2025,1441.6,1453.5,1457.0,1434.4,8828114,-0.50%
11 Jun 2025,1448.9,1445.8,1468.6,1443.1,8195700,0.72%
10 Jun 2025,1438.5,1450.0,1453.9,1436.0,7913181,-0.71%
09 Jun 2025,1448.8,1457.0,1457.5,1445.3,7885125,0.37%
06 Jun 2025,1443.5,1441.0,1451.5,1437.0,8182161,0.08%
05 Jun 2025,1442.4,1428.0,1454.7,1423.6,13716817,1.33%
04 Jun 2025,1423.5,1414.7,1425.7,1406.1,8126827,1.28%
03 Jun 2025,1405.5,1422.3,1426.5,1403.4,11252626,-0.58%
02 Jun 2025,1413.7,1412.1,1417.5,1395.6,8098668,-0.51%
30 May 2025,1420.9,1418.0,1430.6,1409.7,13788484,0.22%
29 May 2025,1417.8,1412.1,1420.0,1408.6,13771917,0.35%
28 May 2025,1412.9,1420.1,1422.6,1410.7,5944611,-0.65%
27 May 2025,1422.1,1426.1,1437.0,1413.9,12640414,-0.89%
26 May 2025,1434.8,1432.0,1441.0,1425.1,4842944,0.56%
23 May 2025,1426.8,1406.6,1433.8,1406.6,6474883,1.23%
22 May 2025,1409.4,1421.2,1423.8,1396.9,12134466,-1.39%
21 May 2025,1429.2,1423.9,1436.2,1418.1,6136364,0.32%
20 May 2025,1424.6,1438.2,1445.0,1421.8,11270560,-1.12%
19 May 2025,1440.8,1452.1,1454.6,1438.2,6195791,-1.07%
16 May 2025,1456.4,1453.2,1461.0,1447.3,9036695,0.15%
15 May 2025,1454.2,1425.0,1461.4,1412.7,20177211,2.09%
14 May 2025,1424.4,1420.0,1429.9,1415.5,5570160,0.61%
13 May 2025,1415.7,1433.5,1447.7,1412.4,11407896,-1.45%
12 May 2025,1436.5,1400.0,1439.0,1400.0,10674081,4.31%
09 May 2025,1377.2,1385.5,1394.8,1374.5,13668904,-2.12%
08 May 2025,1407.0,1404.1,1420.8,1398.0,16106175,0.07%
07 May 2025,1406.0,1420.9,1424.4,1402.7,13440169,-1.05%
06 May 2025,1420.9,1431.0,1432.0,1410.6,14084117,-0.73%
05 May 2025,1431.3,1431.0,1439.5,1426.9,12685649,0.63%
02 May 2025,1422.4,1414.0,1426.7,1409.1,17535402,1.24%
30 Apr 2025,1405.0,1402.0,1412.4,1369.0,25480745,0.38%
29 Apr 2025,1399.7,1371.0,1410.9,1370.0,32538970,2.26%
28 Apr 2025,1368.8,1340.0,1374.6,1320.2,31104496,5.26%
25 Apr 2025,1300.4,1303.5,1325.2,1288.1,14431012,-0.09%
24 Apr 2025,1301.6,1292.4,1304.5,1290.3,10468940,0.12%
23 Apr 2025,1300.0,1297.0,1306.0,1285.4,10480888,0.68%
22 Apr 2025,1291.2,1300.0,1303.9,1286.3,13051707,-0.33%
21 Apr 2025,1295.5,1270.0,1300.9,1267.0,10429964,1.65%
17 Apr 2025,1274.5,1240.2,1280.2,1227.6,15398401,2.84%
16 Apr 2025,1239.3,1234.1,1240.9,1229.0,8248464,-0.06%
15 Apr 2025,1240.1,1251.0,1251.0,1237.1,13378535,1.74%
11 Apr 2025,1218.95,1195.15,1222.65,1195.15,11224242,2.83%
09 Apr 2025,1185.35,1169.5,1189.8,1168.0,10223104,0.27%
08 Apr 2025,1182.2,1172.0,1196.6,1163.3,19555040,1.42%
07 Apr 2025,1165.7,1132.2,1171.25,1114.85,22156106,-3.24%
04 Apr 2025,1204.7,1241.1,1245.45,1193.15,17908652,-3.52%
03 Apr 2025,1248.7,1233.05,1251.8,1233.05,7434366,-0.20%
02 Apr 2025,1251.15,1247.55,1255.55,1243.9,10142590,-0.12%
01 Apr 2025,1252.6,1264.6,1277.9,1249.3,12099648,-1.76%
28 Mar 2025,1275.1,1280.0,1295.75,1269.0,18147129,-0.24%
27 Mar 2025,1278.2,1278.15,1285.0,1271.3,15028056,0.40%
26 Mar 2025,1273.05,1291.0,1293.8,1268.75,12074747,-0.96%
25 Mar 2025,1285.45,1307.7,1307.7,1282.6,13713899,-1.28%
24 Mar 2025,1302.1,1291.0,1306.0,1284.25,20299319,2.02%
21 Mar 2025,1276.35,1275.0,1281.0,1270.1,21780769,0.57%
20 Mar 2025,1269.15,1251.85,1273.0,1250.05,15971477,1.76%
19 Mar 2025,1247.15,1241.05,1253.25,1238.8,16162399,0.67%
18 Mar 2025,1238.8,1244.7,1248.35,1235.0,15745877,0.00%
17 Mar 2025,1238.85,1242.15,1257.4,1233.1,16640952,-0.73%
13 Mar 2025,1247.9,1260.05,1264.15,1243.85,9505270,-0.73%
12 Mar 2025,1257.05,1258.0,1263.0,1244.0,11977555,0.78%
11 Mar 2025,1247.3,1240.0,1249.5,1229.75,10089838,0.72%
10 Mar 2025,1238.4,1245.0,1258.0,1235.4,11931051,-0.91%
07 Mar 2025,1249.8,1216.0,1254.8,1212.0,16474965,3.32%
06 Mar 2025,1209.6,1197.0,1213.95,1185.15,14468014,2.89%
05 Mar 2025,1175.6,1161.0,1183.0,1157.0,8664095,1.18%
04 Mar 2025,1161.9,1162.2,1174.0,1159.55,11377373,-0.80%
03 Mar 2025,1171.25,1204.0,1206.45,1156.0,17944938,-2.40%
28 Feb 2025,1200.1,1202.0,1217.35,1193.3,23007298,-0.58%
27 Feb 2025,1207.1,1212.8,1215.0,1200.65,11509215,0.26%
25 Feb 2025,1204.0,1211.0,1221.0,1201.5,11552182,-0.87%
24 Feb 2025,1214.55,1216.55,1223.25,1210.5,7172498,-1.11%
21 Feb 2025,1228.15,1228.7,1240.0,1222.15,6904025,-0.39%
20 Feb 2025,1233.0,1223.95,1239.35,1222.0,7795582,0.45%
19 Feb 2025,1227.45,1219.5,1232.75,1217.55,6217338,0.17%
18 Feb 2025,1225.4,1224.85,1229.9,1216.1,6673250,0.04%
17 Feb 2025,1224.9,1211.1,1227.5,1204.5,8166683,0.63%
14 Feb 2025,1217.25,1219.0,1224.0,1205.45,10298145,0.09%
13 Feb 2025,1216.1,1217.05,1228.0,1212.0,8511216,-0.04%
12 Feb 2025,1216.55,1219.45,1226.9,1193.35,21131654,-1.48%
11 Feb 2025,1234.85,1264.55,1264.55,1230.1,8859714,-1.50%
